Normative Clause  ID,Normative Clauses,Source Document,,,,,,
EASA-014,Validate all captured requirements prior to development. DA-07,"EASA AI Concept Paper Issue 2, page 58",,,,,,
EASA-015,Identify data sources and collect data per ODD while meeting DQRs. DM-01,"EASA AI Concept Paper Issue 2, page 60",,,,,,
EASA-016,"Distribute data into independent train, validation, and test sets (DM-09).","EASA AI Concept Paper Issue 2, page 202",,,,,,
EASA-017,Perform data verification for ODD appropriateness and dataset adequacy (DM-08).,"EASA AI Concept Paper Issue 2, page 78, 172, 198",,,,,,
EASA-018,Capture requirements for learning management and training processes including robustness/stability metrics (LM-02).,"EASA AI Concept Paper Issue 2, page 68",,,,,,
EASA-019,Provide quantifiable generalization bounds (LM-04).,"EASA AI Concept Paper Issue 2, page 169",,,,,,
EASA-020,Evaluate trained model on an independent test set and document results (LM-09).,"EASA AI Concept Paper Issue 2, page 71, 170, 206",,,,,,
EASA-021,Verify the stability of the trained model (LM-12).,"EASA AI Concept Paper Issue 2, page 72,  171",,,,,,
EASA-022,Verify robustness of the trained model under adverse training conditions (LM-13).,"EASA AI Concept Paper Issue 2, page 72,  171",,,,,,
EASA-023,Evaluate inference model on independent test set (IMP-08).,"EASA AI Concept Paper Issue 2, page 77, 211",,,,,,
EASA-024,Verify robustness of the inference model in adverse inference conditions (IMP-10).,"EASA AI Concept Paper Issue 2, page 77",,,,,,
EASA-025,Apply configuration management to AI/ML lifecycle data and artifacts (CM-01).,"EASA AI Concept Paper Issue 2, page 80, 172",,,,,,
EASA-026,Ensure quality/process assurance across development lifecycle (QA-01).,"EASA AI Concept Paper Issue 2, page 80, 172, ",,,,,,
EASA-027,Perform impact assessment of model reuse (RU-01).,"EASA AI Concept Paper Issue 2, page 81",,,,,,
EASA-028,Analyze COTS ML functions and deactivate unused functions (RU-02/RU-03).,"EASA AI Concept Paper Issue 2, page 81",,,,,,
EASA-029,Reinforce individual situation awareness in system design (HF-02).,"EASA AI Concept Paper Issue 2, page 107",,,,,,
EASA-030,Enable and support shared situation awareness (HF-03).,"EASA AI Concept Paper Issue 2, page 108",,,,,,
EASA-031,Provide means to record operational data for post-ops explanation (EXP-09).,"EASA AI Concept Paper Issue 2, page 93, 173",,,,,,
EASA-032,Present explanations to end user in a clear and unambiguous form (EXP-11).,"EASA AI Concept Paper Issue 2, page 101, 173",,,,,,
EASA-033,Define the level of abstraction of explanations by task/situation/user (EXP-13).,"EASA AI Concept Paper Issue 2, page 101, 173",,,,,,
EASA-034,Ensure validity of specified explanation for each relevant output (EXP-17).,"EASA AI Concept Paper Issue 2, page 173",,,,,,
EASA-035,Online learning is out of scope and not accepted at this stage.,"EASA AI Concept Paper Issue 2, page 21, 265",,,,,,
EASA-036,Identify information security risks including AI/ML-specific threats (IS-01/02).,"EASA AI Concept Paper Issue 2, page 42, 141, 261",,,,,,
EASA-037,Validate security controls mitigating AI/ML risks (IS-03).,"EASA AI Concept Paper Issue 2, page 42, 140",,,,,,
EASA-038,Monitor inputs (ODD bounds) and outputs (performance bounds) (EXP-05/06).,"EASA AI Concept Paper Issue 2, page 92",,,,,,
EASA-039,Output confidence monitoring (EXP-07).,"EASA AI Concept Paper Issue 2, page 92",,,,,,
EASA-040,Metric stability monitoring (SA-03).,"EASA AI Concept Paper Issue 2, page 39 ",,,,,,
"EASA-041	","The applicant shall capture the requirements on data to be pre-processed and engineered for the inference model in development and for the operations.	","EASA Concept Paper, page 57
",,,,,,
"EASA-042	","The applicant shall describe the preliminary AI/ML constituent architecture, to serve as reference for related safety assessment and learning assurance objectives.	","EASA Concept Paper, DA-06, p.166
",,,,,,
"EASA-043	","The applicant shall document evidence that all derived requirements have been provided to the (sub)system processes, including the safety (support) assessment.	","EASA Concept Paper, DA-08, p.58
",,,,,,
"EASA-044	","The applicant shall document evidence of the validation of the derived requirements, and of the determination of any impact on the safety (support) assessment and (sub)system requirements.	","EASA Concept Paper, DA-09, p.58
",,,,,,
"EASA-045	",The applicant shall account for the bias-variance trade-off in the model family selection and shall provide evidence of reproducibility of the model training process.,"EASA Concept Paper, LM-07-SL, p.71
",,,,,,
"EASA-046	","The applicant shall ensure that the estimated bias and variance of the selected model meet the associated learning process management requirements.	","EASA Concept Paper, LM-08, p.71
",,,,,,
"EASA-047	","The applicant shall provide an analysis on the stability of the learning algorithms.	","EASA Concept Paper, LM-11, p. 72
",,,,,,
"EASA-048	","The applicant shall verify the anticipated generalisation bounds using the test data set.	","EASA Concept Paper, LM-14, p. 73
",,,,,,
"EASA-049	","The applicant shall verify that any transformation (conversion, optimisation, inference model development) performed during the trained model implementation step has not adversely altered the defined model properties.	","EASA Concept Paper, IMP-06, p.76
",,,,,,
"EASA-050	","The applicant shall perform and document the verification of the stability of the inference model.	","EASA Concept Paper, IMP-09, p.77
",,,,,,
FDA-001,Model performance shall remain stable and acceptable across heterogeneous clients and participant groups.,"Good Machine Learning Practice (GMLP) – FDA/HC/MHRA, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations pg 27 and Consideration for the use of artificial intelligence to support regulatory decision.. page 4",,,,,,
FDA-002,Ensure safety and effectiveness for all intended users.,"Content of Premarket Submissions for Device Software Functions (Final), Purpose/Applicability  ",,,,,,
FDA-003,"Prevent data leakage between training, tuning, and testing splits with auditable safeguards.","Good Machine Learning Practice (GMLP) – FDA/HC/MHRA, Guiding Principles",,,,,,
FDA-004,Report two-sided 95% confidence intervals for all primary performance estimates.,"Content of Premarket Submissions for Device Software Functions (Final), Documentation levels and evidence expectations  ?	",,,,,,
FDA-005,Detect shifts in input data and performance over time (TPLC - Total Product Lifecycle).,"Good Machine Learning Practice (GMLP) – FDA/HC/MHRA, Guiding Principles, Guiding Principles",,,,,,
FDA-006,Implement predetermined change control plan (PCCP) with regression validation.,"Marketing Submission Recommendations for a PCCP for AI?DSF (Final Guidance),Scope and PCCP contents  ",,,,,,
FDA-007,Demonstrate fairness across heterogeneous clients and participant groups with worst-group performance meeting minimum acceptance.,"Good Machine Learning Practice (GMLP) – FDA/HC/MHRA, Guiding Principles  ",,,,,,
STD-001,ODD coverage assurance: training data shall sufficiently cover the defined ODD including edge cases.,"ISO/PAS 21448:2022 Safety of the intended functionality (SOTIF), Scope/Overview ",,,,,,
STD-002,Link performance metrics and thresholds to safety objectives and hazard analysis (SA-01).,SAE ARP4754A - NASA application report (objectives/FHA) -ARP4754A overview; FHA/CM/verification objectives,,,,,,
STD-003,Prioritize metrics according to hazard drivers with stricter limits for false negatives when warranted.,"SAE ARP6983 (G?34 process standard for AI – WIP) plus ARP4761/4761A safety analysis practice, ARP6983 rationale/scope; ML safety case using ARP4761A methodology ",,,,,,
STD-004,"Certification maintenance via secure data download, retest, and drift monitoring workflows (CCMRs).","NASA/FAA technical compendia referencing ARP4754A/CM objectives and verification matrices, “Configuration Management Process Objectives Comparison,” “Verification Matrix,” “Process Assurance Objectives”  ",,,,,,
STD-005,"Ensure bidirectional traceability from requirements to data, model, verification cases, and results.","ARP4754A practice via NASA report (traceability and verification matrix), “Example Completed Verification Matrix,” validation/verification objectives  ",,,,,,
STD-006,All ML artifacts shall be under configuration management with versioning and change control.,"ARP4754A (CM objectives) – NASA comparison tables, “Configuration Management Process Objectives Comparison”  ",,,,,,
FL-001,"Characterize client-level data distributions: quantity skew, label skew, feature shift, temporal drift.",A Survey for Federated Learning Evaluations: Goals and Measures/ Taxonomy of evaluation goals/measures  ,,,,,,
FL-002,Meet defined communication efficiency targets compatible with constrained aviation systems.,"Exploring the Practicality of Federated Learning: A Survey Towards the Communication Perspective, Communication bottlenecks/overheads ",,,,,,
FL-003,Time-to-convergence and real-time constraints shall meet operational feasibility under representative deployment.,A Survey for Federated Learning Evaluations: Goals and Measures/ Effectiveness/efficiency metrics (convergence) ,,,,,,
FL-004,"Privacy preservation (e.g., differential privacy) shall be applied to meet documented privacy requirements without violating performance minima.","Survey of Privacy Threats and Countermeasures in Federated Learning, Threats/countermeasures overview ",,,,,,
FL-005,"Protection against inference attacks, gradient leakage, poisoning, and backdoor attacks under defined threat model.","Survey of Privacy Threats and Countermeasures in Federated Learning, Attack taxonomy and risks",,,,,,
FL-006,Implement robust aggregation and/or attack detection where threat models require resilience to adversarial clients.,"Federated Learning for Generalization, Robustness, Fairness: A Survey and Benchmark, Robustness dimension and methods",,,,,,
FL-007,Benefits of the federated model shall be distributed equitably across clients with disparities monitored.,"Federated Learning for Generalization, Robustness, Fairness: A Survey and Benchmark, Fairness dimension and metrics ",,,,,,
XAI-001,"Provide human-understandable explanations of model scope, behavior, outputs, confidence, and limitations for operators.","Additive feature?attribution methods: a review on explainable ML, Review overview ",,,,,,
XAI-002,"Produce feature attribution explanations with defined fidelity, quantitative stability across runs, and localization.","Stability Guarantees for Feature Attributions with Multiplicative Noise, Theoretical stability guarantees",,,,,,
XAI-003,"Document attribution methods, configurations, data scope, and known limitations.","Additive-feature-attribution methods: a review on explainable artificial intelligence for fluid dynamics and heat transfer, Stability Guarantees for Feature Attributions with Multiplicative Smoothing",,,,,,
