Metric ID,Metric Name,Threshold Min,Threshold max,Unit,Threshold Eliciation Method,Source Category,Primary Source,,
M.GEN.GAP,Generalization Gap,0.0,0.05,"absolute difference	",ML generalization performance from empirical studies,Academic Benchmark,"From Promise to Practice:
A Study of Common Pitfalls Behind the Generalization Gap
in Machine Learning
, Overfitting Machine Learning: How to Protect AI Security Models - Qohash",,
M.PERF.COV,Independent Test Evaluation Coverage (%),95,100,%,"V&V completeness requirements for certification	","Certification Mandate, Aerospace Standard	",Standard (EASA-019/023),,
M.PERF.STAT_REP,Generalization Reporting Completeness (%),95,100.0
,%,Regulatory Documentation Requirement,Standard ,"FDA-004, https://www.fda.gov/medical-devices/software-medical-device-samd/good-machine-learning-practice",,
M.PERF.CROSS_STAB,Cross-Population Stability (worst-group ?),0.0,0.10,"coefficient of variation	",Fairness/Robustness Requirement,Standard ,FDA-001/002,,
M.PRG.PHM,Prognostics Score (PHM08),500,250,Score,SOTA Benchmark (C-MAPSS),Academic Benchmark,"PHM08 Competition scoring system; Alestra et al. AIRBUS (Score <1000 acceptable <500, is succesful)  Performance Benchmarking and Analysis of Prognostic Methods for CMAPSS Datasets",,
M.ROB.STAB_ODD,Stability Across ODD (CV %),0,10,CV %,Robustness Variation Limit,Academic Benchmark,Easy Access Rules for Large Aeroplanes (CS-25),,
M.ROB.DEGRAD,Robustness Degradation Index (%),0,10,% Drop,Adversarial Robustness Tolerance,Security Benchmark,"Adversarial Attacks and Defenses in AI Systems: Challenges, Strategies, and Future Direction",,
M.RT.LAT,Inference Latency (ms),0,100,ms,Real-Time Monitoring Requirement,Industrial Constraint,"Edge-Based Real-Time Fault Detection in UAV Systems via B-Spline Telemetry Reconstruction and Lightweight Hybrid AI - PubMed Central, Real-time PHM (?50ms); Monitoring system latency requirements (?100ms), 10.3390/aerospace12010066",,
 M.SAF.ACC,Safety-Linked Accuracy (min),0.95,0.99,%,Hazard Analysis Allocation,Standard/Regulation,"FHA Deriven, EASA Concept Paper (DAL C/D:); FDA Medical Device Guidance (95%), Functional Hazard calculation results, 0.90-0.99 (major to catastrophic hazzard), Aircraft Engine Remaining Useful Life (RUL) Prediction Using Machine Learning",,
M.SAF.REC,Safety-Linked Recall (min),0.95,0.99	
,%,Critical Failure Detection Limit,Standard (Safety),"FHA Deriven, SAE ARP6983 (?95% for critical failure detection); SAE ARP4761, 14 CFR 25.1309, Young et al. 2025 Aircraft Systems (98% recall), he potential for leveraging machine learning to filter medication alerts - PMC",,
M.SAF.FPFN,Safety-Linked FPR/FNR (max),,,%,False Alarm Tolerance,Industrial Intuition,The potential for leveraging machine learning to filter medication alerts - PMC,,
M.SAF.FNR_MAX,Safety-Linked FNR (max),0.01,0.005,%,False Alarm Tolerance,Industrial Intuition,The potential for leveraging machine learning to filter medication alerts - PMC,,
M.SAF.FPR_MAX,Safety-Linked FPR (max),0.0,0.02,%,False Alarm Tolerance,Industrial Intuition,The potential for leveraging machine learning to filter medication alerts - PMC,,
M.SAF.RMSE,Safety-Linked RMSE (max),20,15,Cycle,SOTA Performance Benchmark,Academic Benchmark,"Performance Benchmarking and Analysis of Prognostic Methods for CMAPSS Datasets, FHA Deriven, Alomari et al. 2023 C-MAPSS (RMSE 13.88); Elsherif et al. 2025 C-MAPSS (RMSE 13.88-15)",,
M.STAT.CI,95% CI Width,0.0,0.05,Unit,Statistical Precision Target,Statistical Standard,"FDA 95% CI Statistical Guidance (width <=0.05 for high-confidence reporting)",,
M.XAI.FIDE_STAB,Attribution Fidelity & Stability,,,Score (0-1),Explainability Trust Threshold,Academic Benchmark,"A SURVEY ON EXPLAINABLE AI: TECHNIQUES AND CHALLENGE, Feature attribution consistency requirements",,
M.XAI.FIDELITY,Attribution Fidelity Score,0.80,1.00,Score (0-1),Explainability Trust Threshold,Academic Benchmark,"A SURVEY ON EXPLAINABLE AI: TECHNIQUES AND CHALLENGE, Feature attribution consistency requirements",,
M.XAI.STABILITY,Attribution Stability Score,0.85,0.95,Score (0-1),Explainability Trust Threshold,Academic Benchmark,"A SURVEY ON EXPLAINABLE AI: TECHNIQUES AND CHALLENGE, Feature attribution consistency requirements",,
M.BIAS.COMPL,"Model Bias/Variance Compliance Rate",0,0.05,"Proportion","Regulatory audits, literature survey, best practices in high-stakes ML	",Academic Benchmark,Fairness in focus: quantitative insights into bias within machine learning risk evaluations and established credit models,,
M.BIAS.TRADEOFF ,Bias�Variance Trade-off Profile,0.8,1.00,"Proportion	",Literature review on model selection and bias�variance trade-off curves; engineering judgment for safety-critical applications; alignment with practice,Academic Benchmark,"Evaluation of Regression Models: Model Assessment,
Model Selection and Generalization Error, Rethinking Bias-Variance Trade-off for Generalization of Neural Networks
",,
M.XFORM.DELTA,"Model Transformation Impact Delta",-0.01,0.01,"Absolute Change (? primary metric)	","Literature review and critical application reporting, empirical analysis of transformation impact	",Academic Benchmark,"Memorizing without overfitting: Bias, variance, and interpolation in overparameterized models",,
M.INFER.STAB,"Inference Stability Score	",0,0.02,"Coefficient of Variation (CV)	","reports, ML operational standards, process best practice",Academic Benchmark,"ASI: Accuracy-Stability Index for
Evaluating Deep Learning Models, A framework to evaluate machine learning crystal stability predictions",,
